ncase,ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,status
80213,protons,2.7056810000000002,55.84798225673606,0.1517154124137008,9.183975422099811,1.5365300574452088,9.183970033129707,Developed
289438,protons,3.146333,75.80388944146634,1.907859338337758,7.653219094914689,6.759962935405041,7.653199622022692,Developed
364693,protons,0.9506140000000001,70.23440418036427,6.916063028406672,13.69695328856619,12.292463351774536,13.696909291652151,Developed
459610,protons,4.066353,47.09209719397147,0.0,0.0,0.0,0.0,Track below surface
461128,protons,2.3914180000000003,76.40950603319409,2.92756094006195,8.951175805736098,8.225058428357165,8.951157527913317,Developed
879105,protons,0.21910939999999998,72.71623045001084,0.9781765314511404,9.558943561227824,9.535855151284721,9.559988261554565,Developed
1005063,protons,1.172811,33.44374629444552,0.4542823941549434,6.917868658703958,1.576090075352361,7.095237586587276,Developed
1039939,protons,3.429853,81.4594475401492,1.8853407296541338,7.065862487216662,6.737548282338904,7.065824342425182,Developed
1070675,protons,4.889921999999999,51.49842092354787,0.0,0.0,0.0,0.0,Track below surface
1253312,protons,3.6714170000000004,79.22196091266126,1.52948334242957,6.6597851136724255,6.101722649679449,6.659764182804896,Developed
1507358,protons,0.5567299,37.354371416409194,0.8672286522069506,10.744652908686241,7.9804228557370696,10.744674512835452,Developed
1558591,protons,4.061564,86.52656869573482,1.3960121789726472,5.916453979659823,5.855449799249054,5.916332517542981,Developed
1713163,protons,2.120533,38.19880464612756,0.0,0.0,0.0,0.0,Track below surface
1774449,protons,2.7937019999999997,53.834423074504905,0.0,0.0,0.0,0.0,Track below surface
1987429,protons,4.166907,63.91216980820688,0.0,0.0,0.0,0.0,Track below surface
1997376,protons,0.1204018,36.26018542263339,0.061120502083443995,2.6949478753893645,2.508493862222228,2.6949630206809276,Developed
2265050,protons,2.488805,84.61221187886068,3.1820918309735085,8.668497858857853,8.556705459656264,8.668369035605378,Developed
2437822,protons,5.493647,65.57426240006352,0.0,0.0,0.0,0.0,Track below surface
2774536,C,1.936352e-09,21.31616030342491,0.0,0.0,0.0,0.0,Energy exceeds SRIM tables
2817074,protons,3.6400099999999997,51.34103469315246,0.0,0.0,0.0,0.0,Track below surface
2860020,protons,3.087169,67.03406521500342,1.2096535720037576,7.980772300060388,5.397037082020576,7.980766442588718,Developed
2917213,protons,1.662782,68.00491714059417,3.498602510737145,10.553492572693132,8.688230333919037,10.55348060703665,Developed
3060257,protons,0.036058059999999996,62.140969673195045,0.0,0.0,0.0,0.0,Angle < Critical
3192289,C,0.01210105,33.83975052946013,0.0,0.0,0.0,0.0,Angle < Critical
3222526,protons,5.497835,84.91609663310842,0.46438655433086495,3.6397283906131186,3.4350347100365495,3.6397162919739623,Developed
3317331,O,0.6094067,62.08719124739236,0.8575339634454556,1.3744120873986405,1.256897360289298,1.3811715116401377,Developed
3711123,protons,1.8039969999999999,54.142953069293974,1.065033976757345,11.05919606142586,4.764417777730896,11.059191934905531,Developed
4281943,protons,0.6178895,67.708952901122,3.864389181762993,15.076951345041978,14.515258643852926,15.07692873548555,Developed
4603035,protons,2.821106,70.36698459977609,1.8629797956595802,8.362032289895351,6.66277148926465,8.362023530314186,Developed
4652468,protons,0.6778833,41.21100751939032,1.5396916123443862,13.401353318158963,9.474283074642916,13.401443357123732,Developed
4847354,protons,3.247433,49.95603634900278,0.0,0.0,0.0,0.0,Track below surface
4850392,protons,2.641371,49.866974622800704,0.0,0.0,0.0,0.0,Track below surface
4907663,protons,3.4310899999999998,55.685941614865,0.0,0.0,0.0,0.0,Track below surface
5237754,protons,0.8634583,63.75210626294775,5.473040200617632,14.937861989860039,12.42208607440902,14.937851210297318,Developed
5244174,protons,4.139708,66.0621335707783,0.09416405958108243,6.057567448374297,1.3008592085364763,6.0575652115943095,Developed
