ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,black_part,total_surface,status
protons,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,2.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,6.136363636363637,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,10.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,12.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,14.318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,16.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,18.40909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,20.454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,22.5,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,24.545454545454547,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,26.59090909090909,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.1,28.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,No Track Formed
protons,0.1,30.68181818181818,0.003517715313751779,0.721272995961027,0.6088114051516815,0.7212786343372377,0.0,0.33511544636639184,Developed
protons,0.1,32.72727272727273,0.013775174406559287,1.3475323063275666,1.2008711769871165,1.3475282687668235,0.0,1.2613066264549795,Developed
protons,0.1,34.77272727272727,0.028070056499718277,1.8604518890084913,1.7091740767939654,1.8604445381887267,0.0,2.4896404126579124,Developed
protons,0.1,36.81818181818182,0.044974964529385986,2.303853876339618,2.158570844733041,2.3038487730760897,0.0,3.9011569212552724,Developed
protons,0.1,38.86363636363636,0.06362667356460605,2.697511154609287,2.5622366548499858,2.697516626412683,0.0,5.430142573276006,Developed
protons,0.1,40.90909090909091,0.08342888252845171,3.0529197293008457,2.9291904213934328,3.052930842191829,0.0,7.032940561473577,Developed
protons,0.1,42.95454545454545,0.10397586139435688,3.376953599742282,3.264771527645748,3.3769762784299084,0.0,8.681149584468296,Developed
protons,0.1,45.0,0.1249106170074672,3.674218721058353,3.5732628484312907,3.6742259939457274,0.0,10.348526447273848,Developed
protons,0.1,47.04545454545455,0.14598185013327836,3.948179503354584,3.8577447366209405,3.9482039170943555,0.0,12.017761386599867,Developed
protons,0.1,49.09090909090909,0.16696155311671212,4.201376980879467,4.120844138719147,4.20141490078946,0.0,13.672716428147531,Developed
protons,0.1,51.13636363636363,0.18769346556432254,4.435675777158242,4.364329651846116,4.435709175699109,0.0,15.302333124781862,Developed
protons,0.1,53.18181818181818,0.20803677842966728,4.652822193096261,4.589942747485572,4.652843806350785,0.0,16.896332986921706,Developed
protons,0.1,55.22727272727273,0.22781569276809321,4.853643389800445,4.798684905664497,4.853696805444649,0.0,18.442802421766885,Developed
protons,0.1,57.27272727272727,0.24696200440091154,5.039559758745512,4.991508273130394,5.039608829781137,0.0,19.93653349675347,Developed
protons,0.1,59.31818181818182,0.2653380596974646,5.211205663895154,5.169790130565356,5.211294834725162,0.0,21.36749040396,Developed
