       Particle         Energy              x              y              z           cosx           cosy           cosz
           1   2.7703290796561308E-003  -2.1563996957434481        2.9180505521048117      -0.55000000000000004        9.9162275582310222E-002 -0.23196960127247185       0.96765538658492911     
           1   3.8645878420106028E-003  -2.1851128109808697        2.7249340825844341      -0.55000000000000004      -0.11905409938870262      -0.14765282010930061       0.98184762877572618     
           1   1.0989626862514257E-003 -0.58949948685880971        3.2034665540273513      -0.55000000000000004      -0.44978386518523072        1.8098171934972603E-002  0.89295404741321738     
           1   5.1032596235875971E-003  -1.0586225582595830        2.6630568627075819      -0.55000000000000004       -9.5666623620035585E-002  0.22787059430961304       0.96898033487482405     
           1   2.0763905138062588E-003  -1.6571305048691098        3.1983049397804515      -0.55000000000000004      -0.14457812678791665       0.40232076641476205       0.90401060069334116     
           1   1.7715513610661038E-003 -0.96459019328401063        3.1887151660156077      -0.55000000000000004      -0.49354253193217051      -0.55010442979641994       0.67364744896150108     
           1   3.8083926338083884E-004 -0.62220661605820338        2.8108212551894121      -0.55000000000000004       0.11284459406932978       0.70155234888211382       0.70362660507354102     
           1   1.5446183658532897E-003  -1.1107901633839874        1.5820073664920120      -0.55000000000000004       0.15254227106476609       0.77283882221440015       0.61599595000021079     
           1   1.7757047586934860E-003  -1.7444932650349481        1.7771005949565211      -0.55000000000000004       0.54279457346416815      -0.32603993680836818       0.77399742287933171     
           1   3.6401363293756539E-003 -0.26334624791782202        1.3763165382848130      -0.55000000000000004       0.45626306480877876      -0.46926710335990418       0.75605052833491571     
           1   2.9738962822780657E-003 -0.43983502952791503        1.3825448590657019      -0.55000000000000004      -0.51915277871800736       0.45951656314627948       0.72064201969049968     
           1   4.2211069188937689E-003  -1.2701440835332440        1.7334790891425096      -0.55000000000000004       0.39843319160026469       0.24201895504550724       0.88469080317922799     
           1   3.3804169601429068E-003 -0.73616417020391756        2.6351962842919709      -0.55000000000000004       0.45310396382158086       0.26529691121907972       0.85106659367336668     
           1   4.9851342311935110E-003 -0.91077958857042163        2.7523714535855284      -0.55000000000000004       0.14841572303883016      -0.59364272083499281       0.79092420190210910     
           1   2.7814282153506564E-003 -0.28688694064945552        3.0723735651968180      -0.55000000000000004      -0.21884989981308545      -0.64185644603210135       0.73493198599519560     
           1   4.3122480361729165E-003  -2.0707737064524365        3.5109794082526133      -0.55000000000000004      -0.59859578206194131        6.4115084086412796E-002  0.79848127447689399     
           1   6.4788433056546246E-003  -1.7058856060363263        1.6563476623112676      -0.55000000000000004       -2.5377059233150798E-002  -1.5348393585868743E-002  0.99956011909189846     
           1   2.6510072591247047E-003  -1.9229309672199593        2.0066382210193381      -0.55000000000000004       0.27570490786943769      -0.25523147848577332       0.92673820260452788     
           1   2.0909812107130499E-003 -0.56947044786825018        2.1220622667092242      -0.55000000000000004      -0.18619568098409081       0.33913411180567071       0.92212755223594156     
