energy_MeV,angle_deg,x_cm,y_cm,z_cm,cosz,etching_time_h,major_axis_um,minor_axis_um,depth_um,black_part,total_length_um,total_surface,projected_surface,developed,skipped_total
2.770329079656131,75.3877798346447,-2.156399695743448,2.9180505521048117,-0.55,0.9676553865849291,2.83,8.32584858297741,7.431050438593867,2.341624772219289,0.3848441999545245,8.325829650248485,57.317072912832465,48.61551128317169,True,0
3.864587842010603,79.06639283488052,-2.1851128109808697,2.724934082584434,-0.55,0.9818476287757262,2.83,6.319082074410111,5.713628887304785,1.3309017725742098,0.19478462377376096,6.319070771422071,31.244761257460713,28.36949348917544,True,0
1.0989626862514257,63.24683101024138,-0.5894994868588097,3.2034665540273513,-0.55,0.8929540474132174,2.83,13.181191320186777,10.470089336469297,6.982621775006198,0.7437335393402297,13.181545433396073,172.84447406176133,108.48798970873587,True,0
5.103259623587597,75.69179145658924,-1.058622558259583,2.663056862707582,-0.55,0.968980334874824,2.83,4.2774667185176085,2.5568701029196768,0.2672522525728932,0.013365360896092407,4.277464098998054,8.78591581239829,8.611591208286114,True,0
2.076390513806259,64.69035553410991,-1.6571305048691098,3.1983049397804515,-0.55,0.9040106006933412,2.83,9.879517785046168,7.180678894889642,2.233660960317091,0.3079752418902236,9.879510535728457,65.30733681959487,55.73889669037418,True,0
1.7715513610661038,42.34920472633071,-0.9645901932840106,3.1887151660156077,-0.55,0.6736474489615011,2.83,0.9736641199582458,0.08995977448269439,0.012569857243321476,0.014555927288947784,0.9797060714681612,0.10929372108498239,0.11892779906382772,False,0
0.38083926338083884,44.71869608412916,-0.6222066160582034,2.810821255189412,-0.55,0.703626605073541,2.83,9.440639645089187,8.656260087050427,0.9129261957648126,0.0,9.440690189973324,67.71119729583185,65.62254548132081,True,0
1.5446183658532897,38.024323483316046,-1.1107901633839874,1.582007366492012,-0.55,0.6159959500002108,2.83,1.4745898954739258,0.1727148839158294,0.030397466468753832,0.034775052486183414,1.4902344246533579,0.25962651375869866,0.2808103044048899,False,0
1.775704758693486,50.71422369517589,-1.744493265034948,1.777100594956521,-0.55,0.7739974228793317,2.83,9.855266187877708,2.758352598671615,0.5115340300039513,0.06245722325460551,9.855261978478563,25.216038315675174,24.407860637671593,True,0
3.640136329375654,49.11724746754566,-0.263346247917822,1.376316538284813,-0.55,0.7560505283349157,2.83,1.3283557150177816,0.143780480562376,0.022855987898213338,0.03305604067414079,1.3416614357879513,0.17721981455889418,0.19336164195964586,False,0
2.9738962822780657,46.107512238883935,-0.43983502952791503,1.382544859065702,-0.55,0.7206420196904997,2.83,1.4210159513665823,0.14713716164891588,0.022787448000888316,0.03265315726477968,1.434117684910289,0.18097016953616946,0.19741285433255987,False,0
4.221106918893769,62.21349542255956,-1.270144083533244,1.7334790891425096,-0.55,0.884690803179228,2.83,1.0026017547152346,0.06346250979670362,0.002399259622694936,0.0012363210778317262,1.0029169946960796,0.04902839058352198,0.055812485484494634,False,0
3.380416960142907,58.32786817532404,-0.7361641702039176,2.635196284291971,-0.55,0.8510665936733667,2.83,1.121578543523707,0.06834711114951521,0.0024848240547633155,0.0009977314821807547,1.1217468134118347,0.054808333492670315,0.062048336726007944,True,0
4.985134231193511,52.271963659962786,-0.9107795885704216,2.7523714535855284,-0.55,0.7909242019021091,2.83,2.248924349525105,0.1731317879973363,0.0086031278499927,0.0020076883690932,2.248924168016135,0.2708011627034646,0.30580285957503456,False,0
2.7814282153506564,47.30146932341214,-0.2868869406494555,3.072373565196818,-0.55,0.7349319859951956,2.83,1.3995168102103348,0.13285714518537536,0.018724914222023097,0.026197532086927638,1.409964816054666,0.15743815889772536,0.17217553135407054,False,0
4.3122480361729165,52.98531850359208,-2.0707737064524365,3.5109794082526133,-0.55,0.798481274476894,2.83,1.2154212537853564,0.13424674611380655,0.021295423999884596,0.03090699960586367,1.2278867436786567,0.16351342450296916,0.17862926032270288,False,0
6.478843305654625,88.30050023908755,-1.7058856060363263,1.6563476623112676,-0.55,0.9995601190918985,2.83,2.4243235988617826,2.3848536715086452,0.2216404333402302,8.984751439170467e-07,2.424163809171852,4.62171987463781,4.549527090969878,True,0
2.6510072591247047,67.93193792915103,-1.9229309672199593,2.006638221019338,-0.55,0.9267382026045279,2.83,8.73987271748417,6.584229400884495,1.830277377060761,0.2684962266669635,8.739862019487923,51.589163865012964,45.23161192119232,True,0
2.09098121071305,67.23912450817477,-0.5694704478682502,2.122062266709224,-0.55,0.9221275522359416,2.83,9.743658165044192,7.6276108112131,2.5207328886014797,0.3567471327951553,9.743644487889235,69.62585359719853,58.37585593809074,True,0
2.1290351597623713,65.41247155223698,-1.3920602557246566,3.359988845949037,-0.55,0.9093266992006057,2.83,9.751229254579135,7.217948172727318,2.241743656667593,0.3118640084028479,9.751221851704496,64.75957278372199,55.28353749785741,True,0
1.7278521197949814,80.08242590611536,-0.31380776961154633,2.2503521364654238,-0.55,0.9850565447246481,2.83,10.03697132929658,9.678811729487848,4.3526644184675805,0.9498279624724202,10.036903200146961,101.7974208928909,76.30441765852612,True,0
4.072615317637918,65.11151422980612,-0.6518343897512816,3.2416586678440424,-0.55,0.9071286078463394,2.83,4.28868592574411,0.7773741781861139,0.05618625812767827,0.005321066825727353,4.288684001313646,3.034481079875382,3.182039629794369,True,0
2.4156860842344807,68.02388892431078,-0.8376640541284436,2.0822795353459504,-0.55,0.927339962588676,2.83,9.150003153338705,7.10066795994658,2.145390133556994,0.3113772399766806,9.149993803564415,59.413059310873955,51.04296476802244,True,0
0.16904576473109056,28.097573318985326,-1.7869146390651593,2.933517831955691,-0.55,0.4709745195718188,2.83,3.3047403104600543,2.044035986048795,0.0426152805935728,0.0,3.304742132265168,5.03448491059968,5.305370970496741,False,0
2.8698886235112298,46.90018022980929,-1.5879550903095354,1.3614686460860683,-0.55,0.7301644259255702,2.83,1.4059485321770682,0.13833054873698333,0.020303178013944215,0.02871156309885874,1.4174307783886384,0.16649454218000326,0.18188761021048838,False,0
3.989523953621843,50.94611043241361,-1.713808977305112,3.4888777453449307,-0.55,0.7765537102617361,2.83,1.2739032946993176,0.14016881886927907,0.022401131550754717,0.03249771737051762,1.287000973616754,0.17226467721546818,0.18803114830892032,False,0
1.19616690195401,78.88545361700065,-1.4776510728763435,2.5916177264034395,-0.55,0.9812437544522183,2.83,11.799738489996287,11.363031890938617,7.950268883236138,0.9999984550170842,11.799612501039498,174.82040836981218,105.48025325006344,True,0
1.8405081161041448,38.27074443068838,-0.8906415946105068,2.4743769679412138,-0.55,0.619378239488084,2.83,1.6421953721223517,0.17292509132812597,0.02799347652521451,0.040313966767182796,1.658366376862586,0.21975863047134903,0.2390727539174725,False,0
2.5891201665048102,71.76430003435723,-1.2932497423092482,3.5588949485197445,-0.55,0.9497772568849079,2.83,8.729440331520568,7.336242258093206,2.2869331754268414,0.3512841239637833,8.729426816542068,59.12507256261236,50.322340126957954,True,0
3.60805651794327,72.95188262880146,-1.2148458946684597,2.4016432546083752,-0.55,0.9560588830889052,2.83,6.874606110104595,5.394819365879776,1.1931465601762015,0.18165939566811784,6.874598564034194,31.801322888196964,29.14390745580863,True,0
0.5682704713807496,41.17098692743473,-1.9880867108337237,1.7467440806683112,-0.55,0.6583083726082761,2.83,11.676424092474408,9.224818447701606,1.233801433633516,0.04375967683136373,11.67649365800838,86.13350872171054,84.84332983768084,True,0
0.6092784307714094,20.493407003574873,-0.3943543349186609,3.4706784637233272,-0.55,0.35009959654518347,2.83,3.786983859460268,1.787897497310773,0.0480738597172667,0.0,3.786983725428305,4.606854656327588,5.3177259477073795,False,0
1.994623418377861,38.32099704535627,-1.2889135163780672,3.274444572293114,-0.55,0.6200665852641692,2.83,1.6358713752827663,0.17692258479183975,0.029274919579001656,0.042391677072265106,1.6529018750169688,0.22659702259313588,0.24640261250454598,False,0
